SOURCE_URL,PAGE,KEYWORD,PRODUCT_LINK,PRODUCT_NAME,PRICE,PRODUCT_RATING,NUMBER_OF_RATINGS
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Mens-Renew-Fusion-CD0200/dp/B07TKMNN8J/ref=sr_1_21?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-21,Nike Men's Renew Fusion Sneaker,,4.5,320
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-Force-Pure-Platinum-White/dp/B013Y6PNU8/ref=sr_1_22?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-22,Nike Men’s Air Force 1 Low Sneaker,$147.00,4.6,"1,660"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Womens-WMNS-White-Black-White/dp/B079QJ8891/ref=sr_1_23?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-23,Nike womens Nike Women's Air Max 270 White/Black Ah6789-100,,4.6,293
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Revolution-Running-Anthracite-Regular/dp/B07NLVK1NP/ref=sr_1_24?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-24,Nike Men's Revolution 5 Wide Running Shoe,,4.6,"19,502"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Air-Force-1-315122-111-10-5/dp/B002JK6QTS/ref=sr_1_25?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-25,Nike Women's Basketball Shoe,$179.99,4.7,"10,009"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03342801WCU4W9D2IWEW&url=%2FAUPERF-Fashionable-Sneakers-Lightweight-Breathable%2Fdp%2FB08CVDF8G8%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-26-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_mtf,AUPERF Men's Air Running Shoes Lightweight Breathable Workout Footwear Walking Sports Tennis Sneaker,$37.99,4.3,850
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03362813I2OV9N94M3NP&url=%2FWonesion-Breathable-Walking-Sneakers-Non-Slip%2Fdp%2FB083HV383Z%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-27-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_mtf,WONESION Mens Breathable Walking Tennis Running Shoes Blade Slip on Casual Fashion Sneakers,$45.99,4.3,"9,395"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0730083BFGWUVRBLLXO&url=%2FVoxge-Sneakers-Lightweight-Breathable-Athletic%2Fdp%2FB0816687RF%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-28-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_mtf,Voxge Men's and Women's Sock Sneakers Lightweight Breathable Athletic Running Shoes Fashion Tennis Sport Walking Shoes,$26.99,4.4,931
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Everyday-Cushion-Socks-Medium/dp/B07FKDR1WS/ref=sr_1_29?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-29,Nike Men's Everyday Plus Cushion Crew Socks (Medium,$19.99,4.7,327
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Tanjun-Running-Sneaker-Black-Anthracite/dp/B00XWNWKCI/ref=sr_1_30?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-30,"NIKE Men's Tanjun Sneakers, Breathable Textile Uppers and Comfortable Lightweight Cushioning",,4.6,"15,192"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Basketball-Shoes-Black-Anthracite/dp/B00Q6ZC4AM/ref=sr_1_31?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-31,Nike Men's Air Visi Pro Vi,$101.84,4.6,"2,196"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Monarch-Trainer-Black-White-Racer-Regular/dp/B07RHQB5HL/ref=sr_1_32?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-32,Nike mens Air Monarch Iv,$59.97,4.5,373
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-Womens-Tanjun-White-Black/dp/B018TE4T50/ref=sr_1_33?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-33,Nike Women's Low-Top Sneakers,,4.6,"21,907"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Experience-Black-White-Dark-Regular/dp/B07RGM5K6L/ref=sr_1_34?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-34,Nike Men's Flex Experience Run 9 4e Shoe,$86.59,4.5,"1,692"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Precision-Basketball-Shoes-Smoke/dp/B07YLP4ZNZ/ref=sr_1_35?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-35,Nike Men's Basketball Shoe,$106.46,4.5,5
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Womens-WMNS-White-Black-White/dp/B079QKNDKQ/ref=sr_1_36?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-36,Nike Women's Air Max 270 Running,,4.5,936
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Womens-Basketball-White-Women/dp/B07YN129F7/ref=sr_1_37?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-37,Nike Women's Low-Top Basketball Shoe,,4.5,295
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-Monarch-Trainer-Metallic-Midnight/dp/B004IM1GHW/ref=sr_1_38?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-38,Nike Men's Air Monarch IV Cross Trainer,,4.5,"23,269"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Mens-Trail-Running-White/dp/B08GJ58V9L/ref=sr_1_39?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-39,Nike Men's Tennis Shoe,$75.00,4.4,79
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-Womens-Running-White-Black/dp/B075ZXV2K5/ref=sr_1_40?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-40,Nike Women's Sneaker Running Shoes,$114.96,4.3,12
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Experience-White-Cool-Grey-Reflective-Regular/dp/B00V88DHQC/ref=sr_1_41?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-41,Nike Men's Flex Experience Run 8 Sneaker,$99.00,4.5,"5,969"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-849559-AIR-MAX-2017-10/dp/B06XS8BVXH/ref=sr_1_42?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-42,Nike Men's Air Max 2017 Running Shoes,,4.5,571
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-ZERO-ESSENTIAL-running-shoes-876070-100_10/dp/B0047JMFQW/ref=sr_1_43?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-43,Nike Men's Air Max Zero BR Running Shoe,$146.98,4.4,336
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-JCREW-Killshot-Leather-Sneaker/dp/B0768MJTX1/ref=sr_1_44?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-44,Nike Men's Killshot 2 Leather Sneaker,,4.5,161
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Womens-Running-Orange-Numeric_9/dp/B07RB6Q89D/ref=sr_1_46?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-46,Nike Women's Race Running Shoe,$74.39,4.4,"1,836"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Motion-Mens-Ao0266-004-Size/dp/B07DSB4MNS/ref=sr_1_47?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-47,Nike Men's Running Shoes,$99.23,4.5,"1,280"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Flyknit-Running-Black-Pure-Platinum/dp/B07QBDHG4P/ref=sr_1_48?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-48,Nike Epic React Flyknit 2,$96.86,4.4,187
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Revolution-Running-White-Anthracite-Regular/dp/B07NM2HPV8/ref=sr_1_49?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-49,Nike Women's Revolution 5 Wide Running Shoe,,4.6,"11,945"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/Nike-Pegasus-Womens-Running-Black-Half/dp/B07H99Z6QF/ref=sr_1_50?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-50,Nike Women's Air Zoom Pegasus 36 Running Shoes,$98.30,4.6,"3,157"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-Running-Trainers-Sneakers-Anthracite/dp/B00ZYBT21I/ref=sr_1_51?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-51,Nike Reax 8 TR Men's Cross-Trainers Athletic Sneakers Shoes,$119.95,4.4,623
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/NIKE-Womens-Flyknit-Black-White/dp/B078Y915W8/ref=sr_1_52?dchild=1&keywords=nike+shoes&qid=1628148258&sr=8-52,"Nike Womens Free RN Flyknit 2018 Running Athletic, Black/White (Black Upper), 7",$119.73,4.5,76
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0006901112C8VFQ9FFAK&url=%2FWomen-Air-Athletic-Running-Shoes%2Fdp%2FB08H7Z7D8W%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-53-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_btf,Women Air Athletic Running Shoes - Air Cushion Shoes for Womens Mesh Sneakers Fashion Tennis Breathable Walking Gym Work Shoes,$50.99,4.2,988
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09332801BSKYM6AF4ADH&url=%2FCOKAFIL-Walking-Running-Athletic-Sneakers%2Fdp%2FB07TN9LJGF%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-54-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_btf,COKAFIL Mens Running Shoes Athletic Walking Blade Tennis Shoes Fashion Sneakers,$45.99,4.3,"10,808"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A091136431KJSZZMI8OI&url=%2FKEEZMZ-Breathable-Sneakers-Athletic-Lightweight%2Fdp%2FB078FT4HKH%2Fref%3Dsr_1_55_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-55-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_btf,KEEZMZ Men's Running Shoes Fashion Breathable Sneakers Mesh Soft Sole Casual Athletic Lightweight,$22.94,4.0,"4,898"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01509633NXODCHHZ06S0&url=%2FAPRILSPRING-Athletic-Running-Training-Sneakers%2Fdp%2FB08FJ7CZ39%2Fref%3Dsr_1_56_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-56-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_btf,APRILSPRING Mens Walking Shoes Fashion Running Sports Non Slip Sneakers,$32.88,4.2,"5,380"
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08042952IMYLRQTOPTL1&url=%2FWalking-Running-Volleyball-Sneakers-Trainers%2Fdp%2FB08QGQDH2H%2Fref%3Dsr_1_57_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-57-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_btf,Mevlzz Men's Running Shoes Air Low Top Shoes for Men Basketball Sneakers Fashion Tennis Sport Fitness Cross Trainers,$29.99,4.2,566
https://www.amazon.com/s?k=nike+shoes&page=1,1,nike shoes,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04626413GOZYCFYAXFFY&url=%2FHey-Dude-Wally-Micro-Total%2Fdp%2FB07H7SXKHX%2Fref%3Dsr_1_58_sspa%3Fdchild%3D1%26keywords%3Dnike%2Bshoes%26qid%3D1628148258%26sr%3D8-58-spons%26psc%3D1&qualifier=1628148258&id=1679178788295344&widgetName=sp_btf,Hey Dude Men's Wally Sox Loafer,$59.95,4.8,"35,591"
